GT inlier,Total time,Recall,Precision,F1-score
0021_1021_0.9,0.0014,0.987681,1,0.993802
0022_1022_0.9,0.0015,0.988702,0.999229,0.993937
0023_1023_0.9,0.0011,0.987147,1,0.993529
0024_1024_0.9,0.0008,0.977725,1,0.988736
0025_1025_0.9,0.0007,0.928738,1,0.961984
0026_1026_0.9,0.0015,0.247241,0.994083,0.395993
0027_1027_0.9,0.001,0.228936,0.996296,0.372318
0028_1028_0.9,0.0009,0.232534,1,0.377327
0029_1029_0.9,0.0006,0.242978,1,0.39096
0030_1030_0.9,0.0006,0.330667,0.989091,0.494336
0031_1031_0.9,0.0011,0.999302,1,0.999651
0032_1032_0.9,0.0008,0.99825,1,0.999124
0033_1033_0.9,0.0005,0.997549,1,0.998773
0034_1034_0.9,0.0006,0.96427,0.998901,0.979341
0035_1035_0.9,0.0001,0.88587,1,0.927326
0036_1036_0.9,0.0005,0.983629,1,0.991747
0037_1037_0.9,0.001,0.923239,1,0.946398
0038_1038_0.9,0.0003,0.817232,1,0.853963
0039_1039_0.9,0.0002,0.868235,0.99863,0.907538
0040_1040_0.9,0.0003,0.907,1,0.919994
0.900174,0.000810256,0.848782,0.998982,0.883969
